dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyCyst,fold_2,cyst_025.nii.gz,100.97672116666286,8.684733265111207,-14.724324324324325
KidneyCyst,fold_2,cyst_026.nii.gz,19.227862716297864,48.97723814375803,-13.406803158465774
KidneyCyst,fold_2,cyst_028.nii.gz,72.21518222764108,11.316833644726836,6.778501628664495
KidneyCyst,fold_2,cyst_048.nii.gz,3.8227402465981957,19.037800058924585,14.940728035067657
KidneyCyst,fold_2,cyst_051.nii.gz,240.44971344808383,42.17248969444425,2.931580054702293
KidneyCyst,fold_2,cyst_056.nii.gz,313.82408670940026,54.1717296603721,13.912173500656646
KidneyCyst,fold_2,cyst_061.nii.gz,27.26360563230901,26.51383288741767,24.87854251012146
KidneyCyst,fold_2,cyst_078.nii.gz,4.290528027884041,49.1428844431817,22.611670599067732
KidneyCyst,fold_2,cyst_079.nii.gz,82.22638539151846,7.387999052944188,29.281967213114754
KidneyCyst,fold_2,cyst_084.nii.gz,166.1021664404673,15.708799289961688,46.15794481446242
KidneyCyst,fold_2,cyst_086.nii.gz,35.58285581419759,25.462565805993496,19.011834319526628
KidneyCyst,fold_2,cyst_090.nii.gz,55.26085756303842,39.8593639265716,19.03974281357049
KidneyCyst,fold_2,cyst_092.nii.gz,105.70109502391755,23.35700148796938,4.85377358490566
KidneyCyst,fold_2,cyst_093.nii.gz,192.30698819836576,13.932698059156696,50.68174437485502
KidneyCyst,fold_2,cyst_094.nii.gz,71.69967013626047,7.455237173072834,33.579268292682926
KidneyCyst,fold_2,cyst_095.nii.gz,64.19584901659987,40.26910277667732,12.696031052388053
KidneyCyst,fold_2,cyst_096.nii.gz,74.59458577302745,23.243893713591344,22.3764300344707
KidneyCyst,fold_2,cyst_098.nii.gz,180.3513358746322,21.65705165603291,34.03113961702919
KidneyCyst,fold_2,cyst_104.nii.gz,105.6866496158718,27.996917500928742,30.57482309424252
KidneyCyst,fold_2,cyst_109.nii.gz,171.42666412391904,51.56613304778318,6.700657526058206
KidneyCyst,fold_2,cyst_117.nii.gz,240.47781135177033,46.626768906677775,-4.5338255079863385
KidneyCyst,fold_2,cyst_122.nii.gz,292.69700978929563,36.52347176216695,13.452268159632501
KidneyCyst,fold_2,cyst_126.nii.gz,179.50270330907318,17.497579237091134,37.53358925143954
KidneyCyst,fold_2,cyst_131.nii.gz,194.47042235884453,10.31387329601459,76.22893617021276
KidneyCyst,fold_2,cyst_135.nii.gz,85.88953488572243,28.227212476393166,20.89917127071823
KidneyCyst,fold_2,cyst_139.nii.gz,77.22482332474081,55.687629394808006,10.966567430782971
KidneyCyst,fold_2,cyst_141.nii.gz,85.20440873235661,27.79474149406898,21.651939541274707
KidneyCyst,fold_2,cyst_150.nii.gz,232.14291347226307,37.3222274106393,23.070541227751544
KidneyCyst,fold_2,cyst_156.nii.gz,37.951848542195876,42.54954063186042,22.18110531721577
KidneyCyst,fold_2,cyst_157.nii.gz,91.11165294387858,35.79287873962058,21.58504051945437
KidneyCyst,fold_2,cyst_164.nii.gz,102.90915156495564,27.089688691876127,12.110008127249506
KidneyCyst,fold_2,cyst_168.nii.gz,234.02854365818624,24.42477005614912,22.8895
KidneyCyst,fold_2,cyst_169.nii.gz,209.57307736430653,17.89920222158325,37.843864734299515
KidneyCyst,fold_2,neg_000.nii.gz,,20.382216416347394,14.888064677446241
KidneyCyst,fold_2,neg_003.nii.gz,,18.469547695722937,5.602843051929214
KidneyCyst,fold_2,neg_004.nii.gz,,6.897964573064762,29.28021978021978
KidneyCyst,fold_2,neg_009.nii.gz,,22.195886527542584,7.3448098663926
KidneyCyst,fold_2,neg_011.nii.gz,,11.674586538082359,22.062059238363894
KidneyCyst,fold_2,neg_016.nii.gz,,18.5163119680076,13.320096533567353
KidneyCyst,fold_2,neg_018.nii.gz,,22.636152010040423,22.84750566893424
KidneyCyst,fold_2,neg_026.nii.gz,,10.785224714753964,35.237945492662476
KidneyCyst,fold_2,neg_027.nii.gz,,48.49614182149964,6.082469873647968
KidneyCyst,fold_2,neg_028.nii.gz,,34.53034488339521,13.910216718266254
KidneyCyst,fold_2,neg_034.nii.gz,,13.644752739218863,4.1925042589437815
KidneyCyst,fold_2,neg_036.nii.gz,,18.427857629746107,13.256440557787757
KidneyCyst,fold_2,neg_044.nii.gz,,36.25365798643748,11.06422144946735
