dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_1,tumor_043.nii.gz,1.7050949043418375,83.77809827215454,160.42596378414208,,8.759431959689799,70.28726287262873,0.0,0.0,,1.960156249999983,26.657020209685157,93.05692307692307
KidneyAbnormalities,fold_1,tumor_044.nii.gz,1.308401338466145,96.00167653427849,113.19585625595477,,8.003072782497084,58.41379310344828,0.0,0.0,,4.366285964638597,39.09572545578897,80.61328782707622
KidneyAbnormalities,fold_2,cyst_001.nii.gz,1.25,91.2727129741746,106.96101720538184,57.779774666743414,19.811663100192515,21.646624051138634,0.0,0.0,,,19.468023221185145,42.56757894736842
KidneyAbnormalities,fold_2,cyst_002.nii.gz,1.25,74.48940987334066,131.46517340120903,1.25,5.535747978267386,28.82170542635659,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_004.nii.gz,1.0496123026733577,75.33626717576502,136.40063110886936,12.925877248188458,10.720777193565407,27.008537886873,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_013.nii.gz,0.8066409826278687,86.0081039441351,126.76097385903361,65.23681205486288,8.417847632176969,14.0625,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_024.nii.gz,1.25,83.42487220617224,134.40002083724974,1.6322334348748246,7.616571075438714,43.669642857142854,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_025.nii.gz,1.5972693984578807,75.44688347823072,23.612450566272113,5.909679890336701,34.25294065960791,4.206490455212922,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_026.nii.gz,30.193458996179587,54.959251315256374,7.803052924949521,8.78654479523369,61.675718065273834,-11.783108709760183,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_028.nii.gz,1.2499998807907104,68.29970811502034,23.04607554047446,1.40625,12.874339329672004,8.323008849557523,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,cyst_048.nii.gz,1.25,87.06549657299847,112.49308299410814,3.2644668697496493,19.469387730533807,17.319315751960087,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,multi_001.nii.gz,1.484375,90.27764163059103,118.47837650026166,2.347002950906219,20.352039205082008,8.499438412579558,0.0,0.0,,3.0,28.69841499405824,90.69915876619041
KidneyAbnormalities,fold_2,multi_006.nii.gz,1.1020923783273646,80.53939236947436,161.01432551840503,1.7425610537132314,13.43871103185514,63.78853046594982,0.0,0.0,,2.946050783801008,26.71589519369359,92.62712895377129
KidneyAbnormalities,fold_2,multi_011.nii.gz,1.3141730408321424,97.11126746118067,85.406051948652,3.4736733078975632,24.710585431425518,22.601215237204954,0.0,0.0,,4.336465339493099,24.039586752583435,82.67841007157723
KidneyAbnormalities,fold_2,multi_028.nii.gz,2.5,100.35492121181787,106.2148943790461,3.9430668853120854,49.808321187319976,22.866795633549813,0.0,0.0,,7.022624973335614,42.14561892759032,65.78656144512362
KidneyAbnormalities,fold_2,multi_029.nii.gz,1.0,76.41073072896499,124.35375441944824,2.55699198430744,7.8865099307123945,48.55795148247979,0.0,0.0,,2.55699198430744,17.07905548192453,132.13402335456476
KidneyAbnormalities,fold_2,multi_034.nii.gz,0.8789060115814209,96.93817559775235,137.60640218966873,135.53765530761603,12.155842727040623,20.17453798767967,0.0,0.0,,2.6499954296552968,28.678445155818434,122.63064894448789
KidneyAbnormalities,fold_2,multi_036.nii.gz,2.1181503302488243,86.39902120907215,71.70325316667596,7.068568809377221,22.056141818737853,22.085289889793962,0.0,0.0,,157.70120942270248,46.01500141936436,40.295498918262886
KidneyAbnormalities,fold_2,multi_040.nii.gz,0.8707542955466201,96.16306640873563,111.59478635869735,1.1253559820900145,32.04952067407078,26.481174632190346,0.0,0.0,,3.4830171821864804,17.920704802855035,91.12083649548866
KidneyAbnormalities,fold_2,multi_042.nii.gz,3.1549444236636326,92.53369451515306,33.37676461866306,42.11490830622101,35.78572229441161,7.842375104328127,0.0,0.0,,6.2863008299794245,73.4793112457339,40.12852932264551
KidneyAbnormalities,fold_2,multi_043.nii.gz,3.488375842957366,91.65831037158964,149.7873252919778,39.73677320439358,19.14325188604701,28.69683419781792,0.0,0.0,,3.6591972796564702,78.50292435058203,81.86088669414136
KidneyAbnormalities,fold_2,multi_044.nii.gz,1.4848888913084541,94.63142882948574,104.57977292920138,37.05231524133084,9.459360651177615,30.925373134328357,0.0,0.0,,3.3860676457452086,37.35843613654144,92.79182012017833
KidneyAbnormalities,fold_2,multi_045.nii.gz,1.0625,88.61504733523313,91.02282828550855,2.9792891278605813,17.752509267925337,26.604860486048604,0.0,0.0,,1.3707320124663318,32.11288560457182,61.87239273132777
KidneyAbnormalities,fold_2,multi_046.nii.gz,2.1580051521190273,86.66892721689412,83.00423541792348,108.2633519231907,12.81053774610386,0.6666666666666666,0.0,0.0,,1.2505888505598197,22.480572867881474,33.44055442045392
KidneyAbnormalities,fold_2,multi_048.nii.gz,0.9943689110435825,86.08962919191467,119.78073695893451,179.8719070561095,7.1615223704245405,22.43573264781491,0.0,0.0,,1.6498253932234768,20.229294826017956,117.4357000285144
KidneyAbnormalities,fold_2,multi_054.nii.gz,1.5198274534568883,86.91408639511049,107.40439410696743,38.037127376841056,21.027745525914256,45.642247105712656,0.0,0.0,,,0.0,
KidneyAbnormalities,fold_2,multi_059.nii.gz,1.0358009490037317,88.80962050512154,159.0320615488127,2.0716018980074633,41.43103408418122,13.717748325289923,0.0,0.0,,3.3283593896703283,20.02688257012758,166.33992346938774
KidneyAbnormalities,fold_2,multi_067.nii.gz,3.125,94.62323457423817,111.49512310899222,35.35131992320089,14.96313981767208,6.413361169102297,0.0,0.0,,9.225370677036254,27.169316007775972,74.52711421098518
